评论,向量
"运气 好晚 回来 呆 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"张文宏 医生 上海 专家 扑上去 传染科 呼吸科 心脏病 全部都是 医生 参与 救治 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01375586308078748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"上海 牛 逼 平时 遇不到 挂 不到 号 专家 集体 会诊 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"上海 医疗 水平 全国 无可争议 人非 来拉个 死亡率 自卑 扭曲 心理 仿佛 上海 医疗 傻 傻 本事 重症 别来 上海 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014932868175701513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"月 号 确诊 上海 首例 确诊 月 号 
",0 0 0 0.0654241812333372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"记得 很胖 抢救 过好 病危 每次 家里 沟通 病情 家人 感谢 叮嘱 保护 祝 劫后 重生 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.022782801398443898 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"硬生生 死神 手中 抢 回来 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.023742832737553787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"感谢 努力 辛苦 谢谢你们 挽救 一条 人命 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0.018629986966322478 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"连续 按压 小时 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.027050688721494416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"据说 人工 肺 一套 管子 就要 几万块 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"奇迹 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"高以翔 活 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"轻易 放弃 生命 生命 敬畏 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"感谢 付出 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0.01724571548894867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"高以翔 救治 活过来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"一线 不仅仅 感谢 你们好 一生 平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01978354653080065 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0.015321382711627928 0 0 0 0 0 0 0 0 0 0 0 0 
"健康 回归 岗位 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"辅警 群体 繁忙 危险 微薄 收入 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"湖北 太不容易 谢谢你们 守护 湖北 加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"平安 度过 困难 时期 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01335595752413047 0 0 0 0 0 0 0 0 0 0 0 0 
"祝 安好 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014338670117879199 0 0 0 0 0 0 0 0 0 0 0 0 
"转正 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 如约 春天 灾难 过后 平安 无损 
",0 0 0 0 0 0 0 0 0 0 0.03581196473458401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015321382711627928 0 0 0 0 0 0 0 0 0 0 0 0 
"祝 英雄 早日康复 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01416375465288063 0 0 0 0 0 0 0 0 0 
"希望 平安 归队 全国 人民 加油 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0.03810894206449903 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021508867355499575 0 0 0 0 0 0 0 0 0 0 0 0 0.016304095305376663 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 平平安安 早日 战胜 病魔 
",0 0 0 0 0 0 0 0 0 0 0.03581196473458401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012357403215122607 0 0 0 0 0 0 0 0 0 0 
"期待 早日 平安 归队 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015321382711627928 0 0.012357403215122607 0 0 0 0 0 0 0 0 0 0 
"经此 一疫 爱 爱 战士 英雄 早日康复 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01507221705044149 0 0 0 0 0 0 0 0 0 
"祝 早日康复 奋斗 一线 工作者 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02898372558263255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"期待 早日 平安 归队 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015321382711627928 0 0.012357403215122607 0 0 0 0 0 0 0 0 0 0 
"保护 警察 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"辅警 付出 民警 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"祝 英雄 早日康复 请 奋战 一线 防疫 保护 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0.015980679448002345 0 0 0.01201969254771617 0 0 0 0 0 0 
"瞒报 谎报 可恶 害人害己 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"丢人现眼 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"愚不可及 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"丢脸 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"杀 故意 传播 病毒 罪 牢底 坐 穿别 回来 
",0 0 0 0 0 -0.06520237757794649 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"丢脸 几年 回来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"内容 舒适 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"操作 国内 疾控 部门 谎称 在家 隔离带 一家老小 跑 泰国 度假 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"我国 法律 明知 谎报 行踪 特定 感然 救助 危险 方法 危害 公共安全 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"丢脸 丢 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"老胡 一件件 特例 挑战 底线 先有 故宫 跑车 封城 返京 突破 规则 特权 万众一心 对抗 疫情 竟然 皇城根儿 小区 封城 情况 返京 确诊 病人 放 一道道 关卡 进来 
",0 0 0.1181414372099206 0.0654241812333372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"一场 疫情 妖魔鬼怪 浮出 水面 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这次 防疫 老 胡有 认知 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01201969254771617 0 0 0 0 0 0 
"胆识 胡 总编 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"老胡 想 问敢 侃 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"确实 非常 震惊 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"老胡 越来越 犀利 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"关键 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"高速 进城 只查 体温 身份证 刨除 体温计 不准 因素 体温 不高 进来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"天呐 警惕 反向 输入 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 提高 境内 制度 反向 输送 
",0 0 0 0 0 0 0 0 0 0 0.03443056578092884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"宁夏 政府 措施 凡是 外省 强制 检测 强制 隔离 宁夏 政府 措施 恐怕 快 发现 例外 国来 
",0 0 0 0 0 0 -0.05752661996649616 0 0 0 0 0 0 0 0 0 0 0 0 0.021891652748840938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"反向 输入 第一例 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"担心 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"措施 蛮 一路上 戴 口罩 
",0 0 0 0 0 0 0 0.047379477677191445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"宁夏 本来 快 清空 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"国际航班 管控 努力 白费 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"妈服 宁夏 一共 确诊 治好 快 清零 档子 
",0 0 0 0.0654241812333372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"做好 反向 输入 对不起 一线 牺牲 英雄 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02012063299504525 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0.014252695027467009 0 0 0 0 0 0 0 0 0 
"请 国家 重视 辅警 福利待遇 正式 员工 辛苦 微薄 收入 简直 惊讶 想象 一线 城市 辅警 工资 两千多 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"祝 早日康复 奋斗 一线 工作者 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029460170386730614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"基层 永远 前线 危 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"天呐 保护 警察 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"经此 一疫 爱 爱 战士 英雄 早日康复 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015319979522503538 0 0 0 0 0 0 0 0 0 
"辅警 感染 后能 转正 
",0 0 0 0 0 0 0 0 0 0 0 0 0.03240461715223424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"此疫 惨烈 希望 平安 
",0 0 0 0 0 0 0 0 0 0 0.038735390427203115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.016572107830944493 0 0 0 0 0 0 0 0 0 0 0 0 
"时代 英雄 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027554391170338338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014328929634255331 0 0 0 0 0 0 0 0 0 
"致敬 早日康复 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025648611953946063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"城市 民警 辅警 治安 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.027050688721494416 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"已故 民警 请 追加 烈士 剩下 没治 民警 请 恢复健康 治好 民警 休息 做好 防护 措施 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"祝 早日康复 奋斗 一线 工作者 致敬 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029460170386730614 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014803300867425073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"李文亮 调查结果 持续 关注 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"殉职 贴切 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"困在 月 永远 困在 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"经此 一疫 爱 爱 战士 英雄 早日康复 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.015319979522503538 0 0 0 0 0 0 0 0 0 
"记得 报导 过劳 心脏病 突发 症 无新冠 患者 一路 走 
",0 0 0 0 0 0 0 0 0 -0.0341877522337825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"民警 基层人员 冒着危险 好好 配合 多一些 理解 支持 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"辅警 殉职 正职 善后 待遇 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"警察 统治 工具 训诫 医生 受害者 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01375586308078748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 增加 
",0 0 0 0 0 0 0 0 0 0 0.036229596976386745 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"第一批 捐助 口罩 国家 希望 早点 控制 住 疫情 
",0 0 0.1181414372099206 0 0 0 0 0.047379477677191445 0 0 0.03372380352557037 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"做些 帮帮 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"对比 国家 不到 一个月 病毒感染 率控制 住 回顾历史 国家 不惜重金 免费 救治 人民 无助 感染者 倒 岗位 医生 警察 救护 无数 默默无闻 奉献者 
",0 0 0 0 0 0 0 0 0 0 0 0.030631953223610904 0 0 0 0 0 0 0 0 0 0 0 0 0.020448156088653018 0 0 0 0 0 0 0 0 0 0 0.01375586308078748 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"天呐 死亡率 可怕 平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01335595752413047 0 0 0 0 0 0 0 0 0 0 0 0 
"死亡率 希望 快点 
",0 0 0 0 0 0 0 0 0 0 0.03372380352557037 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"卫生部 副 部长 确诊 冠状病毒 节目 居然 不戴 口罩 主持人 聊天 震惊 无比 
",0 0 0 0.0654241812333372 0 0 0 0.047379477677191445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.014049990620141867 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"死亡率 死亡率 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"事件 为啥 人能 月 号 确诊 确诊 家人 能进 检测 体温 异常 放 行进 小区 确诊 确诊 还要 放行 头条新闻 为啥 删除 评论 
",0 0 0 0.0654241812333372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021891652748840938 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"荆门 外地 网友 荆门 挺 难过 评论 政治 荆门 努力 不说 每次 地方 公开处理 全省 荆门 努力 一种 否定 感觉 请 荆门 气馁 这么久 请 赢 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"湖北 目瞪口呆 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.018412549993511006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"负数 咋个 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"负数 人整 整拿去 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"朝令夕改 懵 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"平时 态度 珍惜 党和人民 给与 权利 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"核减 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"数字 生命 岂能 儿戏 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"流于形式 闹 笑话 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 平平安安 早日 战胜 病魔 
",0 0 0 0 0 0 0 0 0 0 0.03581196473458401 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.012357403215122607 0 0 0 0 0 0 0 0 0 0 
"保护 警察 辛苦 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.02628481418238076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"这次 疫情 带走 太多 英雄 
",0 0 0.1181414372099206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.013255292255319774 0 0 0 0 0 0 0 0 0 
"加油 加油 一下下 更好 
",0 0 0 0 0.0652293489775361 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"世界 美好 昼夜 守护 换来 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
